best_params,categorical_features,clf_params,dataset,label,model,numeric_features,score,seed,training_score
"{'classifier__C': 0.1, 'classifier__multi_class': 'auto', 'classifier__n_jobs': -1, 'classifier__solver': 'lbfgs', 'classifier__tol': 0.0001, 'classifier__verbose': 2}","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__C': {'dtype': 'float64', 'py/object': 'numpy.ndarray', 'values': [0.1]}, 'classifier__multi_class': ['auto'], 'classifier__n_jobs': [-1], 'classifier__solver': ['lbfgs', 'liblinear'], 'classifier__tol': [0.0001, 0.01, 0.001, 1e-05], 'classifier__verbose': [2]}",../student-alcohol-consumption/students.csv,Dalc,logistic_regression,"['age', 'absences', 'G3']",0.7575757575757576,180704158,0.7027027027027027
"{'classifier__C': 0.1, 'classifier__multi_class': 'auto', 'classifier__n_jobs': -1, 'classifier__solver': 'liblinear', 'classifier__tol': 0.01, 'classifier__verbose': 2}","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__C': {'dtype': 'float64', 'py/object': 'numpy.ndarray', 'values': [0.1]}, 'classifier__multi_class': ['auto'], 'classifier__n_jobs': [-1], 'classifier__solver': ['lbfgs', 'liblinear'], 'classifier__tol': [0.0001, 0.01, 0.001, 1e-05], 'classifier__verbose': [2]}",../student-alcohol-consumption/students.csv,Walc,logistic_regression,"['age', 'absences', 'G3']",0.5151515151515151,575991609,0.49493243243243246
"{'classifier__C': 0.1, 'classifier__multi_class': 'auto', 'classifier__n_jobs': -1, 'classifier__solver': 'liblinear', 'classifier__tol': 0.0001, 'classifier__verbose': 2}","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__C': {'dtype': 'float64', 'py/object': 'numpy.ndarray', 'values': [0.1]}, 'classifier__multi_class': ['auto'], 'classifier__n_jobs': [-1], 'classifier__solver': ['lbfgs', 'liblinear'], 'classifier__tol': [0.0001, 0.01, 0.001, 1e-05], 'classifier__verbose': [2]}",../student-alcohol-consumption/students.csv,Dalc,logistic_regression,"['age', 'absences', 'G1', 'G2', 'G3']",0.7323232323232324,275557863,0.7010135135135135
"{'classifier__C': 0.1, 'classifier__multi_class': 'auto', 'classifier__n_jobs': -1, 'classifier__solver': 'lbfgs', 'classifier__tol': 0.0001, 'classifier__verbose': 2}","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__C': {'dtype': 'float64', 'py/object': 'numpy.ndarray', 'values': [0.1]}, 'classifier__multi_class': ['auto'], 'classifier__n_jobs': [-1], 'classifier__solver': ['lbfgs', 'liblinear'], 'classifier__tol': [0.0001, 0.01, 0.001, 1e-05], 'classifier__verbose': [2]}",../student-alcohol-consumption/students.csv,Walc,logistic_regression,"['age', 'absences', 'G1', 'G2', 'G3']",0.5,97067858,0.5050675675675675
"{'classifier__C': 0.1, 'classifier__multi_class': 'auto', 'classifier__n_jobs': -1, 'classifier__solver': 'liblinear', 'classifier__tol': 0.0001, 'classifier__verbose': 2}","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'famsup', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__C': {'dtype': 'float64', 'py/object': 'numpy.ndarray', 'values': [0.1]}, 'classifier__multi_class': ['auto'], 'classifier__n_jobs': [-1], 'classifier__solver': ['lbfgs', 'liblinear'], 'classifier__tol': [0.0001, 0.01, 0.001, 1e-05], 'classifier__verbose': [2]}",../student-alcohol-consumption/students.csv,Dalc,logistic_regression,['age'],0.696969696969697,443129767,0.7043918918918919
"{'classifier__C': 0.1, 'classifier__multi_class': 'auto', 'classifier__n_jobs': -1, 'classifier__solver': 'lbfgs', 'classifier__tol': 0.0001, 'classifier__verbose': 2}","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'famsup', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__C': {'dtype': 'float64', 'py/object': 'numpy.ndarray', 'values': [0.1]}, 'classifier__multi_class': ['auto'], 'classifier__n_jobs': [-1], 'classifier__solver': ['lbfgs', 'liblinear'], 'classifier__tol': [0.0001, 0.01, 0.001, 1e-05], 'classifier__verbose': [2]}",../student-alcohol-consumption/students.csv,Walc,logistic_regression,['age'],0.4595959595959596,800984884,0.47466216216216217
"{'classifier__n_estimators': 50, 'classifier__n_jobs': -1}","['school', 'sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'reason', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__n_estimators': [50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950], 'classifier__n_jobs': [-1]}",../student-alcohol-consumption/students.csv,Dalc,random_forest,"['age', 'absences', 'G1', 'G2', 'G3']",0.9494949494949495,391508197,0.8902027027027027
"{'classifier__n_estimators': 400, 'classifier__n_jobs': -1}","['school', 'sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'reason', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__n_estimators': [50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950], 'classifier__n_jobs': [-1]}",../student-alcohol-consumption/students.csv,Walc,random_forest,"['age', 'absences', 'G1', 'G2', 'G3']",0.8787878787878788,660042959,0.7753378378378378
"{'classifier__n_estimators': 100, 'classifier__n_jobs': -1}","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__n_estimators': [50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950], 'classifier__n_jobs': [-1]}",../student-alcohol-consumption/students.csv,Dalc,random_forest,"['age', 'absences', 'G3']",0.9090909090909091,196949250,0.8918918918918919
"{'classifier__n_estimators': 200, 'classifier__n_jobs': -1}","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__n_estimators': [50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950], 'classifier__n_jobs': [-1]}",../student-alcohol-consumption/students.csv,Walc,random_forest,"['age', 'absences', 'G3']",0.8585858585858586,142285416,0.7736486486486487
