model,score,best_params,label,numeric_features,categorical_features,dataset
svc,0.5,"{'classifier__C': 0.9, 'classifier__kernel': 'linear'}",Walc,['age'],"['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'famsup', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
logistic_regression,0.4595959595959596,"{'classifier__C': 0.1, 'classifier__multi_class': 'auto', 'classifier__n_jobs': -1, 'classifier__solver': 'lbfgs', 'classifier__tol': 0.0001, 'classifier__verbose': 2}",Walc,['age'],"['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'famsup', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
knn,0.3939393939393939,"{'classifier__leaf_size': 10, 'classifier__n_jobs': -1, 'classifier__n_neighbors': 6, 'classifier__p': 3}",Walc,['age'],"['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'famsup', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
random_forest,0.9292929292929293,"{'classifier__n_estimators': 50, 'classifier__n_jobs': -1}",Dalc,"['age', 'absences', 'G1', 'G2', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
svc,0.7777777777777778,"{'classifier__C': 0.9, 'classifier__kernel': 'linear'}",Dalc,"['age', 'absences', 'G1', 'G2', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
logistic_regression,0.7323232323232324,"{'classifier__C': 0.1, 'classifier__multi_class': 'auto', 'classifier__n_jobs': -1, 'classifier__solver': 'liblinear', 'classifier__tol': 0.0001, 'classifier__verbose': 2}",Dalc,"['age', 'absences', 'G1', 'G2', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
knn,0.6818181818181818,"{'classifier__leaf_size': 5, 'classifier__n_jobs': -1, 'classifier__n_neighbors': 4, 'classifier__p': 2}",Dalc,"['age', 'absences', 'G1', 'G2', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
random_forest,0.8888888888888888,"{'classifier__n_estimators': 650, 'classifier__n_jobs': -1}",Walc,"['age', 'absences', 'G1', 'G2', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
svc,0.5454545454545454,"{'classifier__C': 0.6, 'classifier__kernel': 'linear'}",Walc,"['age', 'absences', 'G1', 'G2', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
logistic_regression,0.5,"{'classifier__C': 0.1, 'classifier__multi_class': 'auto', 'classifier__n_jobs': -1, 'classifier__solver': 'lbfgs', 'classifier__tol': 0.0001, 'classifier__verbose': 2}",Walc,"['age', 'absences', 'G1', 'G2', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
knn,0.42424242424242425,"{'classifier__leaf_size': 5, 'classifier__n_jobs': -1, 'classifier__n_neighbors': 16, 'classifier__p': 2}",Walc,"['age', 'absences', 'G1', 'G2', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
random_forest,0.9090909090909091,"{'classifier__n_estimators': 100, 'classifier__n_jobs': -1}",Dalc,"['age', 'absences', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
logistic_regression,0.7575757575757576,"{'classifier__C': 0.1, 'classifier__multi_class': 'auto', 'classifier__n_jobs': -1, 'classifier__solver': 'lbfgs', 'classifier__tol': 0.0001, 'classifier__verbose': 2}",Dalc,"['age', 'absences', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
svc,0.7373737373737373,"{'classifier__C': 0.6, 'classifier__kernel': 'linear'}",Dalc,"['age', 'absences', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
knn,0.6818181818181818,"{'classifier__leaf_size': 5, 'classifier__n_jobs': -1, 'classifier__n_neighbors': 16, 'classifier__p': 3}",Dalc,"['age', 'absences', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
random_forest,0.8585858585858586,"{'classifier__n_estimators': 200, 'classifier__n_jobs': -1}",Walc,"['age', 'absences', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
svc,0.5353535353535354,"{'classifier__C': 0.9, 'classifier__kernel': 'linear'}",Walc,"['age', 'absences', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
logistic_regression,0.5151515151515151,"{'classifier__C': 0.1, 'classifier__multi_class': 'auto', 'classifier__n_jobs': -1, 'classifier__solver': 'liblinear', 'classifier__tol': 0.01, 'classifier__verbose': 2}",Walc,"['age', 'absences', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
knn,0.40404040404040403,"{'classifier__leaf_size': 5, 'classifier__n_jobs': -1, 'classifier__n_neighbors': 6, 'classifier__p': 2}",Walc,"['age', 'absences', 'G3']","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']",../student-alcohol-consumption/students.csv
